Cust_ID,International.Plan,Voice.Mail.Plan,X..Vmail.Messages,X..customer.Service.Calls,Churn,trainrows
734,no,yes,34,2,False.,Yes
735,no,no,0,2,False.,Yes
736,no,yes,27,5,False.,No
737,no,no,0,1,False.,No
738,no,yes,19,0,False.,Yes
739,no,yes,31,1,False.,Yes
740,no,no,0,0,False.,No
741,no,no,0,2,False.,Yes
742,no,no,0,1,False.,Yes
743,no,no,0,0,False.,Yes
744,no,no,0,0,False.,No
745,no,yes,24,1,False.,Yes
746,no,yes,22,3,False.,Yes
747,no,yes,28,0,False.,Yes
748,no,no,0,1,False.,Yes
749,no,yes,39,0,False.,Yes
750,no,no,0,3,True.,Yes
751,no,no,0,2,False.,Yes
752,no,no,0,1,False.,No
753,no,yes,39,3,False.,Yes
754,no,yes,22,3,False.,Yes
755,no,yes,31,1,False.,No
756,no,no,0,5,True.,No
757,no,no,0,0,False.,Yes
758,no,no,0,2,False.,No
759,no,no,0,0,False.,Yes
760,no,no,0,1,False.,No
761,no,no,0,1,True.,Yes
762,no,yes,31,1,False.,Yes
763,no,no,0,0,False.,No
764,no,no,0,3,False.,Yes
765,no,no,0,1,False.,No
766,no,yes,22,2,False.,No
767,no,no,0,2,False.,Yes
768,no,no,0,0,False.,Yes
769,no,no,0,1,False.,Yes
770,no,yes,33,0,False.,Yes
771,no,yes,26,1,False.,Yes
772,no,yes,36,2,False.,Yes
773,no,no,0,0,False.,No
774,no,no,0,3,False.,Yes
775,no,no,0,1,False.,Yes
776,no,no,0,1,False.,No
777,no,no,0,0,False.,No
778,no,no,0,1,False.,Yes
779,no,no,0,0,False.,Yes
780,yes,no,0,1,True.,Yes
781,no,no,0,1,False.,Yes
782,no,no,0,0,False.,Yes
783,no,yes,38,3,False.,No
784,no,no,0,1,False.,No
785,no,no,0,3,False.,No
786,no,yes,32,1,False.,Yes
787,no,no,0,3,False.,Yes
788,no,no,0,1,False.,Yes
789,no,yes,21,3,False.,Yes
790,no,no,0,1,False.,Yes
791,no,no,0,2,False.,Yes
792,no,no,0,1,False.,Yes
793,no,no,0,4,False.,Yes
794,no,yes,29,3,False.,No
795,no,no,0,6,False.,No
796,no,no,0,1,False.,Yes
797,no,no,0,1,False.,No
798,no,no,0,0,False.,No
799,no,no,0,0,False.,No
800,no,no,0,0,False.,Yes
801,no,no,0,0,False.,Yes
802,no,no,0,0,False.,No
803,no,no,0,1,False.,No
804,no,yes,23,1,False.,Yes
805,no,no,0,3,False.,Yes
806,no,no,0,1,False.,Yes
807,no,no,0,1,False.,Yes
808,no,yes,42,3,False.,No
809,yes,yes,32,2,False.,Yes
810,no,no,0,2,False.,No
811,no,no,0,3,False.,Yes
812,no,no,0,4,False.,No
813,no,no,0,2,False.,Yes
814,no,no,0,2,False.,No
815,no,yes,22,2,False.,No
816,yes,no,0,1,True.,Yes
817,yes,yes,30,2,False.,Yes
818,no,no,0,1,False.,Yes
819,no,no,0,1,False.,No
820,no,no,0,2,False.,Yes
821,no,yes,38,0,False.,No
822,no,yes,36,6,True.,No
823,no,no,0,1,False.,No
824,no,no,0,3,False.,Yes
825,no,yes,36,1,False.,Yes
826,no,no,0,2,False.,No
827,no,no,0,1,False.,Yes
828,no,no,0,1,False.,Yes
829,no,yes,39,2,False.,Yes
830,no,yes,26,0,False.,No
831,no,no,0,3,True.,Yes
832,no,no,0,2,False.,Yes
833,no,no,0,2,False.,Yes
834,no,yes,37,2,False.,Yes
835,yes,yes,20,1,False.,Yes
836,yes,no,0,3,False.,Yes
837,no,no,0,5,True.,Yes
838,yes,no,0,2,True.,Yes
839,no,no,0,1,False.,Yes
840,no,no,0,1,False.,Yes
841,no,yes,20,1,False.,Yes
842,no,no,0,0,False.,No
843,no,yes,17,5,False.,Yes
844,no,no,0,1,False.,Yes
845,no,no,0,1,False.,No
846,no,yes,26,1,False.,Yes
847,no,no,0,1,False.,Yes
848,no,no,0,1,False.,Yes
849,no,no,0,1,False.,Yes
850,yes,no,0,1,False.,Yes
851,no,yes,32,3,False.,No
852,no,yes,29,0,False.,Yes
853,no,yes,23,3,False.,Yes
854,no,no,0,2,False.,No
855,no,no,0,1,False.,Yes
856,no,no,0,2,False.,Yes
857,no,no,0,2,False.,Yes
858,no,no,0,1,False.,Yes
859,no,yes,30,2,False.,No
860,no,yes,21,2,False.,Yes
861,no,no,0,1,False.,Yes
862,no,no,0,2,False.,No
863,yes,no,0,1,False.,Yes
864,no,yes,35,0,False.,No
865,no,yes,31,0,False.,Yes
866,no,no,0,2,False.,Yes
867,yes,no,0,0,True.,Yes
868,no,yes,26,2,False.,Yes
869,no,no,0,3,False.,No
870,no,no,0,1,False.,Yes
871,no,no,0,1,False.,Yes
872,yes,yes,28,5,True.,No
873,no,no,0,0,False.,No
874,yes,no,0,1,True.,No
875,no,no,0,1,False.,Yes
876,no,no,0,1,False.,Yes
877,no,yes,20,0,False.,Yes
878,yes,yes,24,2,False.,Yes
879,no,yes,26,6,False.,No
880,yes,no,0,2,False.,Yes
881,yes,no,0,2,False.,Yes
882,yes,no,0,1,False.,No
883,no,yes,27,1,False.,No
884,yes,no,0,3,False.,Yes
885,no,yes,22,1,False.,Yes
886,no,no,0,3,False.,Yes
887,no,no,0,0,False.,Yes
888,no,no,0,2,True.,No
889,no,no,0,2,False.,Yes
890,no,no,0,3,False.,Yes
891,yes,yes,45,0,False.,Yes
892,no,no,0,2,False.,No
893,yes,yes,33,1,True.,No
894,no,no,0,2,False.,Yes
895,no,no,0,1,False.,Yes
896,no,no,0,1,False.,No
897,no,yes,32,1,False.,Yes
898,yes,no,0,1,True.,Yes
899,no,yes,22,2,False.,Yes
900,no,yes,26,1,False.,Yes
901,no,yes,27,1,False.,Yes
902,no,no,0,1,False.,No
903,no,no,0,0,False.,No
904,no,no,0,1,False.,Yes
905,no,no,0,0,False.,Yes
906,no,no,0,0,False.,Yes
907,no,no,0,0,False.,Yes
908,no,yes,30,1,False.,Yes
909,yes,yes,16,0,False.,Yes
910,no,yes,17,1,False.,No
911,no,no,0,1,False.,Yes
912,no,no,0,0,False.,Yes
913,no,no,0,1,False.,No
914,no,no,0,0,False.,No
915,no,yes,41,1,False.,No
916,no,no,0,2,True.,Yes
917,no,no,0,1,False.,Yes
918,no,no,0,2,False.,Yes
919,no,no,0,1,False.,Yes
920,no,no,0,1,False.,Yes
921,no,yes,16,2,False.,Yes
922,no,no,0,0,False.,Yes
923,no,no,0,1,False.,No
924,no,yes,24,1,False.,Yes
925,no,no,0,2,False.,Yes
926,no,no,0,1,False.,Yes
927,yes,no,0,1,False.,No
928,no,no,0,0,False.,No
929,no,no,0,2,False.,Yes
930,no,no,0,2,False.,Yes
931,yes,no,0,3,True.,Yes
932,no,no,0,2,False.,No
933,no,no,0,2,True.,No
934,no,no,0,0,False.,No
935,no,no,0,3,False.,No
936,no,no,0,1,False.,Yes
937,no,yes,31,0,False.,Yes
938,yes,yes,33,0,False.,Yes
939,no,yes,28,1,False.,No
940,no,yes,17,1,False.,Yes
941,no,no,0,3,False.,No
942,no,no,0,5,False.,Yes
943,yes,no,0,2,False.,Yes
944,no,no,0,1,False.,Yes
945,no,yes,19,1,False.,No
946,no,yes,51,1,False.,No
947,no,no,0,1,True.,Yes
948,no,yes,31,1,False.,Yes
949,no,no,0,0,False.,Yes
950,no,no,0,2,False.,Yes
951,no,no,0,0,False.,Yes
952,yes,no,0,3,True.,Yes
953,no,no,0,3,False.,Yes
954,no,no,0,3,False.,No
955,no,yes,24,2,False.,Yes
956,no,no,0,2,False.,No
957,no,no,0,1,False.,No
958,no,no,0,1,False.,Yes
959,no,yes,37,1,False.,No
960,no,no,0,3,True.,Yes
961,no,no,0,2,False.,Yes
962,no,no,0,1,False.,No
963,no,yes,38,3,False.,Yes
964,no,no,0,1,False.,No
965,no,no,0,3,False.,Yes
966,no,no,0,4,False.,Yes
967,no,yes,27,0,False.,Yes
968,no,no,0,1,False.,Yes
969,no,no,0,0,False.,No
970,yes,no,0,2,False.,Yes
971,no,no,0,0,False.,No
972,no,no,0,4,True.,Yes
973,no,yes,43,1,False.,No
974,no,no,0,1,False.,Yes
975,no,no,0,5,False.,Yes
976,no,yes,15,1,False.,Yes
977,no,no,0,1,False.,Yes
978,yes,no,0,1,False.,Yes
979,no,no,0,1,False.,Yes
980,no,yes,33,4,False.,Yes
981,no,no,0,1,False.,Yes
982,no,no,0,3,False.,Yes
983,no,no,0,1,False.,No
984,no,no,0,1,False.,Yes
985,no,no,0,2,False.,Yes
986,no,yes,26,2,False.,No
987,no,yes,31,0,False.,No
988,no,no,0,1,False.,Yes
989,no,no,0,2,False.,Yes
990,no,no,0,0,False.,No
991,no,no,0,0,False.,Yes
992,no,no,0,1,False.,No
993,no,yes,27,1,True.,Yes
994,yes,no,0,2,False.,Yes
995,no,no,0,4,True.,Yes
996,no,no,0,2,False.,No
997,no,no,0,2,False.,Yes
998,no,yes,35,0,False.,Yes
999,no,no,0,1,False.,Yes
1000,no,yes,32,1,False.,Yes
1001,yes,yes,29,0,False.,Yes
1002,no,no,0,2,True.,No
1003,no,no,0,7,False.,Yes
1004,no,no,0,0,False.,Yes
1005,no,no,0,1,True.,No
1006,no,no,0,4,True.,No
1007,no,no,0,0,False.,Yes
1008,no,yes,24,1,False.,No
1009,no,no,0,6,False.,Yes
1010,no,yes,25,0,False.,Yes
1011,no,yes,32,0,False.,Yes
1012,no,no,0,5,True.,Yes
1013,no,no,0,2,False.,No
1014,no,yes,24,1,False.,No
1015,no,no,0,0,True.,Yes
1016,no,no,0,2,False.,Yes
1017,no,no,0,2,False.,Yes
1018,no,no,0,0,False.,Yes
1019,no,no,0,1,False.,Yes
1020,no,no,0,1,False.,No
1021,no,no,0,1,False.,Yes
1022,no,no,0,1,False.,No
1023,no,no,0,1,False.,Yes
1024,no,no,0,1,False.,Yes
1025,no,no,0,1,False.,No
1026,no,no,0,1,False.,No
1027,no,no,0,0,False.,Yes
1028,no,yes,24,0,False.,Yes
1029,no,yes,24,2,False.,Yes
1030,no,no,0,1,False.,Yes
1031,no,no,0,0,False.,Yes
1032,no,no,0,1,False.,Yes
1033,no,no,0,1,False.,No
1034,yes,no,0,1,True.,Yes
1035,no,no,0,1,False.,No
1036,no,no,0,4,False.,No
1037,no,yes,37,0,False.,Yes
1038,no,no,0,2,False.,No
1039,no,no,0,1,False.,No
1040,no,no,0,2,False.,Yes
1041,no,no,0,0,False.,Yes
1042,no,no,0,2,False.,No
1043,no,no,0,0,False.,Yes
1044,no,no,0,1,False.,No
1045,no,yes,28,4,True.,Yes
1046,no,no,0,2,False.,No
1047,no,no,0,2,True.,Yes
1048,no,yes,28,1,False.,Yes
1049,no,no,0,1,False.,Yes
1050,no,no,0,1,False.,Yes
1051,no,no,0,1,False.,No
1052,no,no,0,4,False.,Yes
1053,no,no,0,3,False.,Yes
1054,no,yes,39,2,False.,Yes
1055,no,no,0,2,False.,Yes
1056,no,yes,34,0,False.,Yes
1057,no,yes,23,2,False.,Yes
1058,yes,no,0,0,False.,Yes
1059,no,yes,23,3,False.,Yes
1060,no,no,0,2,False.,Yes
1061,no,no,0,3,False.,Yes
1062,no,no,0,0,False.,Yes
1063,no,no,0,3,False.,No
1064,no,yes,30,1,False.,Yes
1065,no,yes,31,1,False.,Yes
1066,no,no,0,0,False.,Yes
1067,no,yes,22,2,True.,Yes
1068,no,no,0,0,False.,No
1069,no,yes,33,1,True.,Yes
1070,no,no,0,0,False.,Yes
1071,no,no,0,1,False.,Yes
1072,no,no,0,3,False.,No
1073,no,no,0,1,False.,Yes
1074,no,no,0,0,False.,Yes
1075,no,yes,31,6,False.,No
1076,no,no,0,0,True.,Yes
1077,no,no,0,0,False.,Yes
1078,no,yes,21,4,True.,No
1079,no,no,0,4,True.,Yes
1080,no,no,0,0,False.,Yes
1081,no,no,0,3,False.,Yes
1082,no,yes,24,1,False.,Yes
1083,no,yes,33,1,False.,Yes
1084,no,no,0,1,False.,No
1085,no,no,0,1,False.,Yes
1086,yes,no,0,1,True.,No
1087,no,yes,15,1,False.,Yes
1088,yes,yes,27,1,True.,Yes
1089,no,no,0,3,False.,Yes
1090,no,no,0,1,False.,Yes
1091,no,yes,31,0,False.,No
1092,no,yes,35,2,False.,No
1093,no,yes,26,1,False.,No
1094,no,no,0,0,False.,Yes
1095,no,yes,33,3,False.,Yes
1096,no,no,0,1,False.,Yes
1097,no,no,0,0,False.,Yes
1098,no,no,0,2,False.,Yes
1099,no,no,0,0,False.,Yes
1100,no,no,0,0,False.,Yes
1101,no,no,0,2,True.,Yes
1102,no,no,0,1,False.,Yes
1103,no,yes,32,2,False.,Yes
1104,no,yes,38,0,False.,Yes
1105,no,yes,27,1,False.,No
1106,yes,no,0,2,False.,No
1107,no,no,0,2,False.,Yes
1108,no,no,0,1,False.,No
1109,no,yes,42,2,False.,Yes
1110,no,no,0,3,False.,No
1111,no,no,0,0,False.,Yes
1112,no,no,0,2,False.,Yes
1113,no,no,0,2,False.,No
1114,no,no,0,1,False.,Yes
1115,no,no,0,0,False.,Yes
1116,no,no,0,0,False.,No
1117,no,no,0,1,False.,Yes
1118,no,no,0,2,False.,No
1119,no,no,0,1,True.,No
1120,no,no,0,1,False.,No
1121,no,yes,33,2,False.,Yes
1122,no,no,0,1,False.,Yes
1123,no,no,0,0,False.,No
1124,no,no,0,2,False.,Yes
1125,yes,no,0,1,False.,Yes
1126,no,yes,11,1,False.,Yes
1127,no,yes,28,2,False.,Yes
1128,yes,no,0,1,True.,Yes
1129,no,no,0,1,False.,Yes
1130,no,no,0,0,False.,No
1131,no,yes,42,2,True.,No
1132,no,no,0,1,False.,Yes
1133,no,no,0,1,False.,No
1134,no,no,0,2,False.,No
1135,no,no,0,2,False.,Yes
1136,no,no,0,2,False.,Yes
1137,no,yes,32,3,False.,No
1138,yes,no,0,0,False.,No
1139,no,no,0,5,True.,No
1140,no,no,0,2,False.,No
1141,no,no,0,4,False.,No
1142,no,yes,38,0,False.,Yes
1143,yes,yes,24,0,False.,Yes
1144,no,no,0,3,False.,Yes
1145,yes,no,0,4,False.,No
1146,no,no,0,4,False.,No
1147,no,no,0,0,False.,Yes
1148,no,no,0,0,False.,Yes
1149,no,no,0,0,False.,Yes
1150,no,no,0,1,False.,No
1151,no,yes,25,2,False.,Yes
1152,no,no,0,0,False.,No
1153,yes,no,0,1,False.,No
1154,no,no,0,2,False.,Yes
1155,no,no,0,1,False.,Yes
1156,no,no,0,1,False.,Yes
1157,no,no,0,0,False.,Yes
1158,no,yes,38,1,False.,Yes
1159,no,no,0,0,False.,No
1160,no,no,0,1,False.,Yes
1161,no,no,0,1,False.,Yes
1162,no,yes,31,1,False.,Yes
1163,no,yes,26,1,False.,No
1164,no,no,0,1,False.,Yes
1165,yes,yes,30,2,False.,Yes
1166,no,yes,29,0,False.,Yes
1167,no,yes,25,0,False.,Yes
1168,no,no,0,1,False.,Yes
1169,no,no,0,0,False.,Yes
1170,no,no,0,1,False.,No
1171,no,no,0,1,False.,Yes
1172,no,no,0,1,False.,Yes
1173,no,yes,25,1,False.,Yes
1174,no,no,0,1,False.,No
1175,no,no,0,2,False.,Yes
1176,no,no,0,0,False.,Yes
1177,no,yes,27,1,False.,No
1178,no,no,0,4,True.,No
1179,no,no,0,0,True.,No
1180,no,no,0,1,False.,No
1181,no,no,0,0,False.,Yes
1182,no,yes,19,1,False.,No
1183,no,no,0,3,False.,No
1184,yes,no,0,3,False.,No
1185,no,no,0,3,False.,Yes
1186,no,no,0,2,False.,No
1187,no,no,0,3,False.,Yes
1188,no,no,0,1,False.,No
1189,no,yes,42,0,False.,Yes
1190,no,no,0,2,False.,Yes
1191,no,no,0,0,False.,Yes
1192,no,no,0,2,False.,Yes
1193,no,no,0,1,False.,Yes
1194,no,no,0,2,False.,Yes
1195,no,no,0,0,False.,Yes
1196,no,no,0,1,False.,No
1197,no,no,0,1,False.,No
1198,no,yes,29,1,False.,Yes
1199,no,no,0,1,False.,No
1200,no,no,0,3,False.,Yes
1201,no,yes,35,1,False.,No
1202,no,no,0,2,False.,No
1203,no,no,0,4,True.,Yes
1204,no,no,0,0,False.,Yes
1205,no,no,0,4,False.,Yes
1206,no,yes,28,2,True.,Yes
1207,no,no,0,3,False.,Yes
1208,no,yes,29,3,False.,No
1209,no,no,0,3,False.,Yes
1210,no,no,0,0,False.,No
1211,no,no,0,2,False.,No
1212,no,no,0,0,False.,Yes
1213,no,no,0,0,False.,Yes
1214,no,no,0,1,False.,Yes
1215,no,yes,15,1,False.,No
1216,no,no,0,1,True.,Yes
1217,no,no,0,3,False.,Yes
1218,yes,no,0,1,False.,Yes
1219,no,no,0,3,False.,Yes
1220,no,no,0,3,False.,Yes
1221,no,no,0,1,False.,Yes
1222,no,no,0,5,True.,No
1223,no,no,0,1,True.,Yes
1224,no,yes,24,2,False.,Yes
1225,no,no,0,1,False.,No
1226,no,no,0,2,False.,Yes
1227,no,yes,19,2,False.,Yes
1228,no,yes,19,0,False.,Yes
1229,yes,yes,31,2,False.,No
1230,no,no,0,2,False.,Yes
1231,no,no,0,1,False.,No
1232,no,yes,25,1,False.,No
1233,no,yes,37,1,False.,No
1234,no,no,0,5,True.,No
1235,no,no,0,1,False.,No
1236,no,yes,33,2,False.,Yes
1237,yes,yes,26,1,True.,Yes
1238,no,yes,34,1,False.,No
1239,no,no,0,1,False.,Yes
1240,no,no,0,2,False.,Yes
1241,no,yes,39,1,False.,Yes
1242,no,no,0,1,False.,Yes
1243,no,no,0,6,True.,Yes
1244,no,yes,29,0,False.,Yes
1245,no,no,0,2,False.,Yes
1246,no,no,0,0,False.,Yes
1247,no,no,0,1,False.,Yes
1248,no,yes,32,0,False.,No
1249,no,no,0,3,False.,No
1250,yes,no,0,2,False.,Yes
1251,no,no,0,5,True.,No
1252,no,yes,24,0,False.,Yes
1253,no,no,0,1,False.,Yes
1254,no,no,0,1,False.,Yes
1255,no,yes,26,1,False.,Yes
1256,no,no,0,4,True.,Yes
1257,no,no,0,1,False.,No
1258,no,no,0,1,False.,Yes
1259,yes,no,0,1,False.,No
1260,no,no,0,0,False.,No
1261,no,yes,28,0,False.,Yes
1262,yes,no,0,3,False.,Yes
1263,no,no,0,0,False.,Yes
1264,no,yes,30,1,False.,Yes
1265,no,yes,32,2,False.,No
1266,yes,yes,26,0,False.,No
1267,no,no,0,3,False.,No
1268,no,no,0,1,False.,No
1269,no,no,0,1,False.,Yes
1270,yes,no,0,1,False.,Yes
1271,no,no,0,0,False.,Yes
1272,no,no,0,1,False.,Yes
1273,no,no,0,2,False.,Yes
1274,no,no,0,1,False.,No
1275,no,yes,39,1,False.,No
1276,no,yes,32,0,False.,Yes
1277,no,no,0,4,False.,Yes
1278,no,no,0,3,False.,No
1279,no,yes,36,3,False.,No
1280,no,yes,23,1,False.,Yes
1281,no,no,0,0,False.,Yes
1282,no,yes,35,1,False.,Yes
1283,no,no,0,3,True.,No
1284,no,yes,32,2,False.,Yes
1285,no,no,0,2,False.,No
1286,no,no,0,3,False.,No
1287,no,yes,12,0,False.,No
1288,no,yes,26,2,False.,No
1289,no,no,0,1,False.,No
1290,no,yes,28,0,False.,Yes
1291,no,no,0,0,False.,Yes
1292,yes,no,0,2,False.,Yes
1293,yes,no,0,4,True.,Yes
1294,yes,yes,15,5,True.,No
1295,no,no,0,1,False.,Yes
1296,no,no,0,1,False.,No
1297,no,no,0,1,False.,Yes
1298,no,no,0,4,False.,Yes
1299,no,yes,26,2,False.,Yes
1300,no,yes,33,1,False.,Yes
1301,no,yes,25,1,False.,No
1302,no,yes,35,2,False.,No
1303,no,no,0,0,False.,No
1304,no,yes,39,1,False.,No
1305,yes,no,0,1,True.,Yes
1306,no,no,0,1,False.,Yes
1307,no,yes,25,0,False.,Yes
1308,no,yes,25,2,False.,Yes
1309,no,no,0,3,False.,No
1310,yes,yes,35,0,False.,Yes
1311,no,no,0,1,False.,Yes
1312,no,no,0,1,False.,Yes
1313,no,no,0,1,False.,Yes
1314,no,no,0,1,False.,No
1315,no,no,0,2,False.,Yes
1316,no,no,0,1,False.,Yes
1317,no,no,0,3,False.,No
1318,no,yes,31,4,False.,No
1319,no,yes,28,3,False.,Yes
1320,no,no,0,1,False.,Yes
1321,no,no,0,2,False.,Yes
1322,no,no,0,2,False.,Yes
1323,no,no,0,3,False.,Yes
1324,no,yes,31,1,False.,No
1325,no,no,0,1,False.,Yes
1326,no,no,0,1,False.,Yes
1327,no,no,0,2,False.,Yes
1328,no,yes,33,0,False.,Yes
1329,no,yes,37,1,False.,No
1330,no,no,0,2,False.,Yes
1331,no,no,0,1,False.,Yes
1332,no,no,0,0,True.,Yes
1333,no,no,0,0,True.,Yes
1334,no,no,0,0,False.,Yes
1335,no,no,0,2,False.,Yes
1336,no,no,0,4,False.,No
1337,no,no,0,0,False.,Yes
1338,no,no,0,3,False.,Yes
1339,yes,yes,24,3,False.,Yes
1340,no,no,0,2,False.,Yes
1341,no,yes,34,4,True.,Yes
1342,no,no,0,5,False.,No
1343,yes,no,0,3,False.,Yes
1344,no,yes,35,1,False.,Yes
1345,no,yes,38,1,False.,Yes
1346,no,no,0,2,False.,Yes
1347,no,no,0,5,False.,No
1348,no,no,0,1,False.,No
1349,yes,no,0,0,False.,Yes
1350,no,no,0,2,False.,No
1351,no,no,0,1,False.,Yes
1352,no,no,0,3,False.,Yes
1353,no,no,0,2,False.,Yes
1354,yes,no,0,4,False.,Yes
1355,no,yes,33,2,True.,Yes
1356,no,no,0,0,False.,No
1357,no,no,0,2,False.,No
1358,no,no,0,1,False.,No
1359,yes,no,0,2,False.,No
1360,no,yes,20,2,False.,No
1361,no,yes,22,3,False.,No
1362,no,no,0,3,False.,No
1363,no,no,0,4,False.,No
1364,no,yes,31,1,True.,No
1365,no,no,0,1,False.,Yes
1366,no,yes,39,1,False.,Yes
1367,no,no,0,0,False.,Yes
1368,no,no,0,1,False.,Yes
1369,no,no,0,0,False.,No
1370,no,yes,45,4,True.,Yes
1371,no,no,0,0,False.,Yes
1372,yes,yes,37,1,False.,Yes
1373,no,no,0,4,False.,Yes
1374,no,no,0,6,True.,No
1375,no,no,0,0,False.,No
1376,no,yes,27,2,False.,Yes
1377,no,no,0,1,True.,Yes
1378,no,yes,24,1,False.,No
1379,no,no,0,0,True.,Yes
1380,no,no,0,2,False.,No
1381,no,no,0,0,True.,Yes
1382,no,no,0,0,False.,Yes
1383,no,no,0,4,False.,Yes
1384,no,no,0,2,False.,Yes
1385,no,no,0,5,True.,Yes
1386,no,yes,46,4,False.,Yes
1387,no,yes,14,1,False.,No
1388,no,no,0,2,False.,Yes
1389,no,no,0,1,False.,Yes
1390,no,no,0,0,False.,Yes
1391,no,no,0,0,False.,Yes
1392,no,yes,30,1,False.,Yes
1393,no,no,0,0,False.,Yes
1394,no,no,0,1,False.,Yes
1395,no,no,0,1,False.,Yes
1396,no,no,0,0,False.,No
1397,no,no,0,2,False.,Yes
1398,no,yes,31,2,False.,No
1399,no,yes,22,1,False.,No
1400,no,no,0,2,True.,No
1401,no,no,0,3,False.,Yes
1402,no,no,0,3,False.,Yes
1403,no,no,0,1,True.,Yes
1404,no,no,0,1,False.,No
1405,no,no,0,3,False.,Yes
